조사년도,지역구분,광역시도,빈도,조율,표준오차(조율),표준화율,표준오차(표준화율),변동계수,지표명
2019,시도,충북,12427.0,3.8,0.2,3.7,0.3,6.3,우울증상유병률
2019,시도,충남,13435.0,3.9,0.2,3.6,0.3,6.0,우울증상유병률
2019,시도,전북,12326.0,3.0,0.3,2.8,0.3,9.0,우울증상유병률
2019,시도,전남,19460.0,2.9,0.2,2.6,0.2,6.8,우울증상유병률
2019,시도,경북,22048.0,3.5,0.2,3.5,0.2,5.2,우울증상유병률
2019,시도,경남,17930.0,2.5,0.2,2.6,0.2,6.9,우울증상유병률
2019,시도,제주,5006.0,2.2,0.3,2.1,0.4,16.0,우울증상유병률
2020,전국,-,,2.5,,2.6,,,우울증상유병률
2020,시도,서울,22819.0,3.2,0.1,3.2,0.1,3.9,우울증상유병률
2020,시도,부산,14477.0,2.6,0.2,2.6,0.2,5.9,우울증상유병률
2020,시도,대구,7311.0,2.1,0.2,2.1,0.2,8.7,우울증상유병률
2020,시도,인천,8960.0,3.6,0.2,3.7,0.3,5.9,우울증상유병률
2020,시도,광주,4607.0,2.9,0.2,2.7,0.2,8.3,우울증상유병률
2020,시도,대전,4574.0,1.9,0.2,2.0,0.2,11.1,우울증상유병률
2020,시도,울산,4555.0,2.4,0.3,2.7,0.3,10.3,우울증상유병률
2020,시도,세종,901.0,4.1,0.7,4.1,0.7,16.8,우울증상유병률
2020,시도,경기,41831.0,3.2,0.1,3.3,0.1,3.4,우울증상유병률
2020,시도,강원,15791.0,3.2,0.3,3.4,0.3,8.0,우울증상유병률
2020,시도,충북,12436.0,2.6,0.2,2.6,0.2,7.1,우울증상유병률
2020,시도,충남,13414.0,2.5,0.2,2.4,0.2,6.3,우울증상유병률
2020,시도,전북,12383.0,3.0,0.2,3.0,0.3,6.5,우울증상유병률
2020,시도,전남,19483.0,2.1,0.1,2.0,0.2,6.0,우울증상유병률
2020,시도,경북,22045.0,3.2,0.2,3.3,0.2,5.9,우울증상유병률
2020,시도,경남,17919.0,2.7,0.2,2.8,0.2,6.5,우울증상유병률
2020,시도,제주,4979.0,2.0,0.3,2.0,0.3,12.4,우울증상유병률
2021,전국,-,228852.0,3.4,0.1,3.1,0.1,1.5,우울증상유병률
2021,시도,서울,22890.0,3.7,0.1,3.5,0.1,3.8,우울증상유병률
2021,시도,부산,14488.0,3.2,0.2,3.0,0.2,4.8,우울증상유병률
2021,시도,대구,7326.0,2.7,0.2,2.7,0.2,7.1,우울증상유병률
2021,시도,인천,8966.0,3.8,0.2,3.8,0.2,6.4,우울증상유병률
2021,시도,광주,4602.0,3.7,0.3,3.6,0.3,7.9,우울증상유병률
2021,시도,대전,4604.0,3.0,0.3,3.1,0.3,9.1,우울증상유병률
2021,시도,울산,4554.0,2.8,0.3,2.8,0.3,9.5,우울증상유병률
2021,시도,세종,919.0,2.3,0.6,2.4,0.5,24.9,우울증상유병률
2021,시도,경기,41835.0,3.6,0.1,3.6,0.1,3.0,우울증상유병률
2021,시도,강원,15806.0,3.7,0.3,3.6,0.3,6.9,우울증상유병률
2021,시도,충북,12449.0,2.8,0.2,3.0,0.2,7.1,우울증상유병률
2021,시도,충남,13469.0,4.2,0.3,4.0,0.3,6.8,우울증상유병률
2021,시도,전북,12372.0,3.5,0.2,3.4,0.3,6.2,우울증상유병률
2021,시도,전남,19496.0,2.3,0.1,2.1,0.2,5.8,우울증상유병률
2021,시도,경북,22159.0,3.4,0.2,3.3,0.2,5.1,우울증상유병률
2021,시도,경남,17929.0,3.5,0.2,3.6,0.2,5.8,우울증상유병률
2021,시도,제주,4988.0,2.1,0.4,2.3,0.5,17.4,우울증상유병률
2022,전국,-,231320.0,4.0,0.1,3.9,0.1,1.4,우울증상유병률
2022,시도,서울,22921.0,4.1,0.1,4.0,0.2,3.5,우울증상유병률
2022,시도,부산,14497.0,4.6,0.2,4.1,0.2,4.4,우울증상유병률
2022,시도,대구,7311.0,3.1,0.2,3.1,0.2,7.3,우울증상유병률
2022,시도,인천,8977.0,4.6,0.3,4.7,0.3,5.5,우울증상유병률
2022,시도,광주,4564.0,3.7,0.3,3.6,0.3,7.9,우울증상유병률
2022,시도,대전,4593.0,3.6,0.3,3.5,0.3,8.2,우울증상유병률
2022,시도,울산,4544.0,4.2,0.4,4.6,0.4,8.6,우울증상유병률
2022,시도,세종,917.0,1.7,0.5,1.6,0.4,30.3,우울증상유병률
2022,시도,경기,43594.0,3.9,0.1,3.9,0.1,2.8,우울증상유병률
2022,시도,강원,15800.0,4.1,0.2,3.9,0.3,5.9,우울증상유병률
2022,시도,충북,12444.0,3.5,0.2,3.6,0.3,6.3,우울증상유병률
2022,시도,충남,14329.0,4.7,0.2,4.8,0.3,5.1,우울증상유병률
2022,시도,전북,12348.0,4.0,0.4,3.6,0.3,9.5,우울증상유병률
2022,시도,전남,19450.0,3.1,0.2,2.8,0.2,5.7,우울증상유병률
2022,시도,경북,22104.0,4.2,0.2,4.2,0.2,4.4,우울증상유병률
2022,시도,경남,17944.0,4.3,0.2,4.3,0.3,5.4,우울증상유병률
2022,시도,제주,4983.0,2.3,0.3,2.4,0.3,11.9,우울증상유병률
2023,전국,-,231134.0,4.0,0.1,4.1,0.1,1.4,우울증상유병률
2023,시도,서울,22917.0,4.4,0.2,4.5,0.2,3.6,우울증상유병률
2023,시도,부산,14452.0,4.3,0.2,4.2,0.2,4.5,우울증상유병률
2023,시도,대구,8181.0,3.6,0.2,3.6,0.3,6.5,우울증상유병률
2023,시도,인천,8971.0,4.7,0.3,4.6,0.3,5.7,우울증상유병률
2023,시도,광주,4566.0,4.5,0.3,4.3,0.3,7.1,우울증상유병률
2023,시도,대전,4580.0,2.9,0.3,2.9,0.3,9.5,우울증상유병률
2023,시도,울산,4546.0,3.9,0.3,4.3,0.4,8.6,우울증상유병률
2023,시도,세종,920.0,5.4,0.9,5.2,0.9,16.8,우울증상유병률
2023,시도,경기,43499.0,3.9,0.1,3.9,0.1,2.8,우울증상유병률
2023,시도,강원,15816.0,4.1,0.2,3.9,0.3,6.1,우울증상유병률
2023,시도,충북,12331.0,3.6,0.2,3.6,0.2,6.1,우울증상유병률
2023,시도,충남,14321.0,4.7,0.3,5.1,0.3,5.6,우울증상유병률
2023,시도,전북,12379.0,3.2,0.3,3.2,0.3,8.4,우울증상유병률
2023,시도,전남,19464.0,3.2,0.2,3.1,0.3,5.5,우울증상유병률
2023,시도,경북,21269.0,4.2,0.2,4.1,0.2,4.6,우울증상유병률
2023,시도,경남,17936.0,3.5,0.2,3.6,0.2,5.1,우울증상유병률
2023,시도,제주,4986.0,3.2,0.4,3.8,0.6,13.7,우울증상유병률
